"n","uuid","title","error","contact","error_level"
27,"c4702d92-80b3-11ee-b962-0242ac120027","2020_2022_VIIRS_CumTemp_IxodesRicinus","missing abstract","ERGO
","error"
42,"c4702d92-80b3-11ee-b962-0242ac120042","An annotated Avian Influenza dataset from two event-based surveillance systems","missing thumbnail","INRAE & CIRAD","warning"
43,"c4702d92-80b3-11ee-b962-0242ac120043","Annotated datasets from PADI-web for event-based surveillance of Avian Influenza, African Swine Fever, and West-Nile Virus Disease","missing thumbnail","INRAE & CIRAD","warning"
44,"c4702d92-80b3-11ee-b962-0242ac120044","Annotation of epidemiological information in animal disease-related news articles: guidelines and manually labelled corpus","missing thumbnail","CIRAD","warning"
46,"c4702d92-80b3-11ee-b962-0242ac120046","Avian Influenza events affecting mammals from ProMED","missing thumbnail","LIRMM","warning"
47,"c4702d92-80b3-11ee-b962-0242ac120047","Avian Influenza events affecting mammals from ProMED","missing thumbnail","INRAE","warning"
48,"c4702d92-80b3-11ee-b962-0242ac120048","Avian Influenza events affecting mammals from ProMED","missing thumbnail","CIRAD","warning"
49,"c4702d92-80b3-11ee-b962-0242ac120049","Avian Influenza events from differents digital surveillance tools","missing thumbnail","INRAE & CIRAD","warning"
50,"c4702d92-80b3-11ee-b962-0242ac120050","Code and Data for: Crowding and the shape of COVID-19 epidemics","missing thumbnail","UOXF","warning"
52,"c4702d92-80b3-11ee-b962-0242ac120052","Copernicus Digital Elevation Model (DEM)","already harvested","mundialis","error"
52,"c4702d92-80b3-11ee-b962-0242ac120052","Copernicus Digital Elevation Model (DEM)","missing thumbnail","mundialis","warning"
53,"c4702d92-80b3-11ee-b962-0242ac120053","Copernicus Digital Elevation Model (DEM)","already harvested","mundialis","error"
53,"c4702d92-80b3-11ee-b962-0242ac120053","Copernicus Digital Elevation Model (DEM)","missing thumbnail","mundialis","warning"
54,"c4702d92-80b3-11ee-b962-0242ac120054","Copernicus Digital Elevation Model (DEM)","already harvested","mundialis","error"
54,"c4702d92-80b3-11ee-b962-0242ac120054","Copernicus Digital Elevation Model (DEM)","missing thumbnail","mundialis","warning"
55,"c4702d92-80b3-11ee-b962-0242ac120055","Copernicus Digital Elevation Model (DEM)","already harvested","mundialis","error"
55,"c4702d92-80b3-11ee-b962-0242ac120055","Copernicus Digital Elevation Model (DEM)","missing thumbnail","mundialis","warning"
56,"c4702d92-80b3-11ee-b962-0242ac120056","Copernicus Digital Elevation Model (DEM)","already harvested","mundialis","error"
56,"c4702d92-80b3-11ee-b962-0242ac120056","Copernicus Digital Elevation Model (DEM)","missing thumbnail","mundialis","warning"
57,"c4702d92-80b3-11ee-b962-0242ac120057","Copernicus Digital Elevation Model (DEM)","already harvested","mundialis","error"
57,"c4702d92-80b3-11ee-b962-0242ac120057","Copernicus Digital Elevation Model (DEM)","missing thumbnail","mundialis","warning"
58,"c4702d92-80b3-11ee-b962-0242ac120058","COVID-19 and media dataset: Mining textual data according periods and countries (UK, Spain, France)","missing thumbnail","CIRAD","warning"
59,"c4702d92-80b3-11ee-b962-0242ac120059","COVID-19 international cases as of Feb 13","missing thumbnail","INSERM","warning"
60,"c4702d92-80b3-11ee-b962-0242ac120060","COVID-19 Open Research Dataset","missing abstract","","error"
60,"c4702d92-80b3-11ee-b962-0242ac120060","COVID-19 Open Research Dataset","missing thumbnail","","warning"
61,"c4702d92-80b3-11ee-b962-0242ac120061","COVID-19_influenza","missing thumbnail","INSERM","warning"
62,"c4702d92-80b3-11ee-b962-0242ac120062","COVID-19-line-list","missing thumbnail","FEM/FBK","warning"
63,"c4702d92-80b3-11ee-b962-0242ac120063","COVID-19/contact_tracing","missing thumbnail","INSERM","warning"
64,"c4702d92-80b3-11ee-b962-0242ac120064","COVID-19/vaccination","missing thumbnail","INSERM","warning"
65,"c4702d92-80b3-11ee-b962-0242ac120065","covid19_spell","missing thumbnail","ULB/KU Leuven","warning"
66,"c4702d92-80b3-11ee-b962-0242ac120066","data and code for Establishment & lineage dynamics of the SARS-CoV-2 epidemic in the UK","missing thumbnail","UOXF","warning"
67,"c4702d92-80b3-11ee-b962-0242ac120067","Data for changes in contact patterns shape the dynamics of the novel coronavirus disease 2019 outbreak in China","missing thumbnail","FEM/FBK","warning"
69,"c4702d92-80b3-11ee-b962-0242ac120069","EPIcx-bal/COVID-19/schools","missing thumbnail","INSERM","warning"
70,"c4702d92-80b3-11ee-b962-0242ac120070","EPIcx-lab/COVID-19/Adherence_and_sustainability/","missing thumbnail","INSERM","warning"
