"n","uuid","title","error","contact","error_level"
1,"c4702d92-80b3-11ee-b962-0242ac120001","Data for changes in contact patterns shape the dynamics of the novel coronavirus disease 2019 outbreak in China","missing thumbnail","FEM/FBK","warning"
2,"c4702d92-80b3-11ee-b962-0242ac120002","COVID-19-line-list","missing thumbnail","FEM/FBK","warning"
3,"c4702d92-80b3-11ee-b962-0242ac120003","PADI-web COVID-19 corpus: news articles manually labelled","missing thumbnail","CIRAD","warning"
4,"c4702d92-80b3-11ee-b962-0242ac120004","COVID-19 and media dataset: Mining textual data according periods and countries (UK, Spain, France)","missing thumbnail","CIRAD","warning"
5,"c4702d92-80b3-11ee-b962-0242ac120005","Code and Data for: Crowding and the shape of COVID-19 epidemics","missing thumbnail","UOXF","warning"
6,"c4702d92-80b3-11ee-b962-0242ac120006","files and scripts related to our study entitled ""Phylogeographic and phylodynamic approaches to epidemiological hypothesis testing""","missing thumbnail","ULB","warning"
7,"c4702d92-80b3-11ee-b962-0242ac120007","COVID-19 international cases as of Feb 13","missing thumbnail","INSERM","warning"
8,"c4702d92-80b3-11ee-b962-0242ac120008","data and code for Establishment & lineage dynamics of the SARS-CoV-2 epidemic in the UK","missing thumbnail","UOXF","warning"
9,"c4702d92-80b3-11ee-b962-0242ac120009","Novel-SARS-CoV-2-P1-Lineage-in-Brazi","missing thumbnail","SOTON","warning"
10,"c4702d92-80b3-11ee-b962-0242ac120010","Title ?","missing abstract","SOTON","error"
10,"c4702d92-80b3-11ee-b962-0242ac120010","Title ?","missing thumbnail","SOTON","warning"
11,"c4702d92-80b3-11ee-b962-0242ac120011","EPIcx-lab/COVID-19/Impact_school_reopening/","missing thumbnail","INSERM","warning"
12,"c4702d92-80b3-11ee-b962-0242ac120012","EPIcx-lab/COVID-19/Underdetection_France/","missing thumbnail","INSERM","warning"
13,"c4702d92-80b3-11ee-b962-0242ac120013","EPIcx-lab/COVID-19/Adherence_and_sustainability/","missing thumbnail","INSERM","warning"
14,"c4702d92-80b3-11ee-b962-0242ac120014","Labeled Entities from Social Media Data Related to Avian Influenza Disease","missing thumbnail","CIRAD","warning"
15,"c4702d92-80b3-11ee-b962-0242ac120015","Supplementary Video 1 from Impact of contact data resolution on the evaluation of interventions in mathematical models of infectious diseases","missing thumbnail","INSERM","warning"
16,"c4702d92-80b3-11ee-b962-0242ac120016","Supplementary Video 2 from Impact of contact data resolution on the evaluation of interventions in mathematical models of infectious diseases","missing thumbnail","INSERM","warning"
24,"c4702d92-80b3-11ee-b962-0242ac120024","MOOD - News AMR dataset - Hackathon 2022","missing thumbnail","INRAE & CIRAD","warning"
